SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
UAEPHAR00025,Aster Pharmacy Al Fardoos,,,,,,,,,,,,,,,,,,  DUBAI-Aster International City,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1648925,55.4084034
UAEPHAR00026,Aster Pharmacy Dragon Mart,,,,,,,,,,,,,,,,,,  DUBAI-Aster International City,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1648925,55.4084034
UAEPHAR00027,Aster Pharmacy Dragon Pharmacy,,,,,,,,,,,,,,,,,,  DUBAI-Aster International City,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1648925,55.4084034
UAEPHAR00028,Aster Pharmacy 105,,,,,,,,,,,,,,,,,,  DUBAI-Aster International City,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1648925,55.4084034
UAEPHAR00029,Aster Pharmacy 135,,,,,,,,,,,,,,,,,,  DUBAI-Aster International City,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1648925,55.4084034
UAEPHAR00030,Aster Pharmacy 137,,,,,,,,,,,,,,,,,,  DUBAI-Aster International City,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1648925,55.4084034
UAEPHAR00031,Aster Pharmacy Al Juma,,,,,,,,,,,,,,,,,,  DUBAI-Aster Karama,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00032,Aster Pharmacy Al Shifa,,,,,,,,,,,,,,,,,,  DUBAI-Aster Karama,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00033,Aster pharmacy sara,,,,,,,,,,,,,,,,,,  DUBAI-Aster Karama,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2489204,55.3060551
UAEPHAR00034,Aster Healthcare Hypermarket,,,,,,,,,,,,,,,,,,  DUBAI-Aster Mankhool,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2459667,55.2949976
UAEPHAR00035,Aster Pharmacy 138,,,,,,,,,,,,,,,,,,  DUBAI-Aster Mankhool,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2459667,55.2949976
UAEPHAR00036,Aster Hospital Pharmacy,,,,,,,,,,,,,,,,,,  DUBAI-Aster Mankhool,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2459667,55.2949976
UAEPHAR00037,Aster Pharmacy 114 Aswaaq Mall,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Barsha,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.083827,55.220397
UAEPHAR00038,Aster Pharmacy 134,,,,,,,,,,,,,,,,,,  DUBAI-Aster Al Barsha,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.083827,55.220397
UAEPHAR00039,Aster Pharmacy Beta,,,,,,,,,,,,,,,,,,DUBAI-Aster Mirdiff,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2196159,55.4194753
UAEPHAR00040,Aster Pharmacy Uptown,,,,,,,,,,,,,,,,,,DUBAI-Aster Mirdiff,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2196159,55.4194753
UAEPHAR00041,Aster Pharmacy 109,,,,,,,,,,,,,,,,,,DUBAI-Aster Mirdiff,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2196159,55.4194753
UAEPHAR00042,Aster Pharmacy 116,,,,,,,,,,,,,,,,,,DUBAI-Aster Mirdiff,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2196159,55.4194753
UAEPHAR00043,Aster Pharmacy 113,,,,,,,,,,,,,,,,,,DUBAI-Aster Mirdiff,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2196159,55.4194753
UAEPHAR00044,Aster Pharmacy 111,,,,,,,,,,,,,,,,,,  DUBAI-Aster Muhaisana,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.26104,55.4194753
UAEPHAR00045,Aster Pharmacy 110,,,,,,,,,,,,,,,,,,DUBAI-Aster Oud Mehta,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.239126,55.3129667
UAEPHAR00046,Aster Pharmacy lamcy,,,,,,,,,,,,,,,,,,DUBAI-Aster Oud Mehta,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.239126,55.3129667
UAEPHAR00047,Aster Ibn Al Azwar,,,,,,,,,,,,,,,,,,DUBAI-Aster Al Aweer ,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1756573,55.5469032
UAEPHAR00048,Aster Al Aweer Pharmacy,,,,,,,,,,,,,,,,,,DUBAI-Aster Al Aweer ,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1756573,55.5469032
UAEPHAR00049,Aster Pharmacy 129 Satwa,,,,,,,,,,,,,,,,,,  DUBAI-Aster Satwa,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.21937,55.272887
UAEPHAR00050,Aster Pharmacy 6,,,,,,,,,,,,,,,,,,  DUBAI-Aster Silicone Oasis,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1279484,55.3862638
UAEPHAR00051,Aster Pharmacy Access 2,,,,,,,,,,,,,,,,,,  DUBAI-Aster Sonapur,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828
